,Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
5,Finland,7.619957135381557,1.3594273477376098,1.396810375726057,0.8673498677920314,0.6372853709550912,0.42160411499144856,0.19608331636981857
2,Denmark,7.570799953995432,1.4017987909673728,1.4071272563602386,0.866939727225442,0.6401195170643222,0.44673291373837715,0.2921676978184968
0,Switzerland,7.526842823576905,1.4739419718889515,1.3768664502959158,0.9283034963545881,0.6264521495239695,0.3885375980509317,0.2657450046084681
1,Iceland,7.516214299845738,1.3915878040572858,1.4548044991477573,0.9087950754451557,0.635736197618055,0.1450381902102977,0.3929929212482081
3,Norway,7.512142870755825,1.509158644908099,1.3940780086529014,0.8795340574217966,0.6519204959135305,0.36869348607487934,0.31170533190148714
6,Netherlands,7.419414296863072,1.4135729967701771,1.3272678797556416,0.8745030670043598,0.6012687097293963,0.3208059410597817,0.3877239141112387
7,Sweden,7.330357115555908,1.4028774994314401,1.3340314102080684,0.8920608027585624,0.6318859714240723,0.4110821570870121,0.3141981635966121
8,New Zealand,7.305942893385674,1.3185519947159683,1.3971233576674984,0.8930325720776455,0.6286717197787431,0.41519213973249386,0.3951073338570645
4,Canada,7.298299999248743,1.3841845827535744,1.3452072706277203,0.90332708535335,0.6209712912991595,0.31656191031824604,0.3536455203489467
9,Australia,7.255257099698766,1.3911173383017144,1.3711683171618831,0.9137506395228231,0.6134420821853593,0.3179800213376923,0.3851946947118334
12,Austria,7.181742855137381,1.4001418287623113,1.3313228412078855,0.8859045638869325,0.5897164382250278,0.23493664349120874,0.276073155106962
10,Israel,7.142371420244176,1.3015823012001257,1.2981209625317474,0.9013567064007787,0.4310282972614768,0.11761007857999801,0.2963634929932862
11,Costa Rica,7.117342839312187,1.0419119992308086,1.2738081803196415,0.8318392287746887,0.6105941989958584,0.09782409735659084,0.17405422000519016
159,Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202
16,Luxembourg,7.034500015296666,1.6394356638276542,1.3009617264068256,0.8948417400260053,0.5954707051519558,0.34387798471698006,0.22731212883920943
17,Ireland,7.000100024073033,1.4847090596128374,1.3982682211915987,0.8747619027492414,0.579248611575108,0.3199130593306557,0.35356075969411577
14,United States,6.983514288788227,1.45524516057421,1.2968053242425444,0.7943849483956384,0.5175741097626169,0.14435764704892515,0.332220262807299
25,Germany,6.982257165089008,1.3958425613875387,1.3084534422014158,0.8689707903934718,0.5653165023553075,0.27729060430338615,0.2719952677208361
20,United Kingdom,6.968357208866735,1.3405564252490056,1.3370721504495415,0.8773394312757873,0.517709813260001,0.2640985303219517,0.4052696571023145
18,Belgium,6.900642844572336,1.3765476468235829,1.3120200409091798,0.8751790026220354,0.5260880204841745,0.22642102615219556,0.18276707094595554
21,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997
30,Czech Republic,6.7355571888562356,1.27501924372372,1.3027902695304214,0.8192283504435949,0.493501535666844,0.03843659287135232,0.07179752684179089
19,United Arab Emirates,6.724685694069825,1.6017456843548499,1.0657816035128957,0.7346846677671552,0.5738573387366942,0.2818571802839228,0.26511256092950003
13,Mexico,6.6297143173806505,1.0781701852662084,1.0673293798184287,0.7604928602439095,0.4746460801948177,0.12422539751553784,0.09959641682840883
36,Malta,6.577828559915561,1.2988590182231443,1.3474555127089671,0.8734780372507673,0.6069422975281109,0.15990430655538732,0.43168591515495514
15,Brazil,6.570657155697405,1.0209732976356027,1.2748600173606044,0.677405916557896,0.4589266393993791,0.11792590930842041,0.13550349752040428
28,France,6.561399953608851,1.3442446872734368,1.3044394328077213,0.9164171541119644,0.49885757378809475,0.19690652361331829,0.11261285854420357
23,Singapore,6.49544285967184,1.59646682798666,1.2242644676399443,1.0151066682748806,0.5809111107851649,0.48806286014774,0.27297812678335126
26,Chile,6.478214262772705,1.1662324432563744,1.1833788349774514,0.8274486474147426,0.405655357956035,0.0821910474437441,0.23926020317521446
24,Panama,6.453542882163399,1.1624294641391602,1.2561374065359756,0.775094667229344,0.5528923734301541,0.06744920713880757,0.15812917817775288
31,Uruguay,6.432442884169328,1.1303985931776914,1.2919484290048298,0.7743679583682688,0.5848799034789386,0.19414384953153116,0.15788580286761913
37,Taiwan,6.432199988762207,1.3803381533649473,1.2275337173419356,0.8256246043332911,0.3987201393699733,0.09384794110465076,0.20752416861453468
27,Qatar,6.4218,1.743691137207032,1.1697073759536738,0.7687316175575256,0.6040641966705322,0.35597385112190244,0.2912167740077972
34,Saudi Arabia,6.397214246524414,1.4238417267404875,1.1686925302790354,0.6659837809621145,0.46267829192042964,0.21201065282732287,0.11352667112636342
35,Spain,6.378414252132813,1.2999390190488198,1.353632869761213,0.9468405261284703,0.42038929234995387,0.08326341087575694,0.1634798645178223
42,Guatemala,6.3647000040264725,0.8045553795674918,1.0959431782334328,0.6148332249653625,0.5717967628462481,0.08733051122601374,0.21915286540427073
29,Argentina,6.314385707301688,1.1065201559440487,1.286763548310303,0.7571786840757752,0.4961342215573273,0.06413642095919798,0.08585107595638498
39,Suriname,6.269,1.0461,0.8753299999999999,0.558765,0.5594549999999999,0.131625,0.16827999999999999
32,Colombia,6.267914292444998,0.9882508621347916,1.2447862709526285,0.6833440103691407,0.5059124934393289,0.04767244455029216,0.12566550956591796
48,Bahrain,6.2061857228840696,1.3797292161441743,1.2045205958907215,0.7324413438151595,0.5524024030221601,0.18849420379584617,0.22131602826193886
33,Thailand,6.202399941053851,1.0520140095075772,1.2665888532390315,0.7085349822010716,0.5781172193934718,0.029807228177378787,0.458584589184906
40,Trinidad and Tobago,6.179983332875406,1.2534245702940783,1.3209641234066165,0.5994536414376629,0.5298219788377888,0.01380886868472433,0.253074119430364
44,Slovakia,6.164800017227295,1.2469816066497885,1.3412943471783625,0.7669840243014178,0.3466828562271533,0.0207546132342156,0.12951060784569116
41,El Salvador,6.147185680366037,0.8202807005472195,1.0449061005075329,0.6593026521114501,0.46266949252411543,0.10670018741318184,0.09526918363043922
49,Italy,6.140342910723876,1.3126503847027673,1.2800941830956598,0.923447039095385,0.2741980408115453,0.032534812773680415,0.16658940845360573
38,Kuwait,6.135871416296213,1.523449443815133,1.1464283676555085,0.6903120915888933,0.5273212873716824,0.16482206904416868,0.15885298427172953
43,Uzbekistan,6.0953714322213655,0.726349148103254,1.37593131308422,0.6004751915131552,0.6698869984212298,0.26976835545098987,0.34170352430115397
54,Slovenia,6.037771411286166,1.2673297786502427,1.3384537873946614,0.8456080391424037,0.6066379930816301,0.0555521859698361,0.1892872273243289
